"Consumer Price Index, monthly, not seasonally adjusted 1 2 3"
"Frequency: Monthly"
"Table: 18-10-0004-01 (formerly CANSIM 326-0020)"
"Release date: 2023-05-16"
"Geography: Canada, Province or territory, Census subdivision, Census metropolitan area, Census metropolitan area part"
""
""

,"Products and product groups 3 4","Food 5","Fresh or frozen beef","Fresh or frozen pork"
"Geography","Reference period"
,,"2002=100",,
"Canada","January 2000","92.1","78.9","88.1"
,"February 2000","91.9","80.7","87.2"
,"March 2000","92.3","81.1","90.0"
,"April 2000","92.5","83.4","91.0"
,"May 2000","93.2","83.6","94.7"
,"June 2000","93.8","84.3","96.2"
,"July 2000","94.3","85.3","98.9"
,"August 2000","94.0","85.8","97.4"
,"September 2000","93.3","85.9","97.8"
,"October 2000","93.1","85.0","96.9"
,"November 2000","93.9","84.7","95.8"
,"December 2000","95.1","86.9","98.1"
,"January 2001","95.3","88.9","97.9"
,"February 2001","96.1","92.4","95.6"
,"March 2001","96.9","96.3","98.8"
,"April 2001","97.2","98.4","107.1"
,"May 2001","98.0","99.6","104.4"
,"June 2001","98.2","99.4","103.7"
,"July 2001","98.6","97.4","105.6"
,"August 2001","97.9","96.5","106.2"
,"September 2001","97.2","97.6","104.8"
,"October 2001","97.0","97.0","105.7"
,"November 2001","97.5","96.3","103.6"
,"December 2001","98.6","98.1","102.4"
,"January 2002","99.7","97.8","103.7"
,"February 2002","100.3","99.0","104.0"
,"March 2002","100.1","99.3","99.0"
,"April 2002","100.5","101.7","101.0"
,"May 2002","100.1","100.5","100.8"
,"June 2002","100.5","100.9","101.0"
,"July 2002","100.5","100.5","99.4"
,"August 2002","99.9","100.5","99.7"
,"September 2002","99.0","99.9","98.8"
,"October 2002","98.5","99.8","98.9"
,"November 2002","100.1","99.4","97.1"
,"December 2002","100.8","100.7","96.4"
,"January 2003","101.6","102.3","98.9"
,"February 2003","101.5","106.1","99.0"
,"March 2003","101.7","106.2","101.4"
,"April 2003","101.8","107.9","99.6"
,"May 2003","102.1","105.6","101.4"
,"June 2003","102.4","104.4","101.9"
,"July 2003","102.4","99.2","100.4"
,"August 2003","101.5","91.0","98.6"
,"September 2003","100.8","90.3","98.2"
,"October 2003","100.7","94.5","101.7"
,"November 2003","101.7","100.8","99.7"
,"December 2003","102.6","100.2","99.7"
,"January 2004","102.8","98.7","99.3"
,"February 2004","102.6","99.9","100.2"
,"March 2004","102.7","100.5","100.6"
,"April 2004","102.5","100.5","100.7"
,"May 2004","103.4","102.9","104.0"
,"June 2004","104.4","107.5","110.0"
,"July 2004","104.4","107.3","111.3"
,"August 2004","104.1","108.0","110.8"
,"September 2004","103.7","107.4","109.1"
,"October 2004","104.2","105.4","110.1"
,"November 2004","105.2","106.1","106.5"
,"December 2004","105.7","106.3","106.4"
,"January 2005","105.4","106.9","106.4"
,"February 2005","105.2","105.9","108.2"
,"March 2005","105.6","107.2","107.7"
,"April 2005","106.6","106.9","107.1"
,"May 2005","106.8","106.5","106.2"
,"June 2005","107.2","107.3","108.5"
,"July 2005","106.9","105.8","106.5"
,"August 2005","106.8","105.2","107.6"
,"September 2005","105.8","104.9","105.8"
,"October 2005","106.2","104.7","106.2"
