"Consumer Price Index, monthly, not seasonally adjusted 1 2 3",,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,
Table: 18-10-0004-01 (formerly CANSIM 326-0020),,,,,,,,,,,,,,,,,
Release date: 2023-05-16,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory, Census subdivision, Census metropolitan area, Census metropolitan area part",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Products and product groups 3 4,Food purchased from stores,,,,,,,,,,,,,,,
Geography,Reference period,,,,,,,,,,,,,,,,
,,2002=100,,,,,,,,,,,,,,,
Canada,Jan-00,91.7,,,,,,,,,,,,,,,
,Feb-00,91.4,,,,,,,,,,,,,,,
,Mar-00,91.9,,,,,,,,,,,,,,,
,Apr-00,92.1,,,,,,,,,,,,,,,
,May-00,93,,,,,,,,,,,,,,,
,Jun-00,93.8,,,,,,,,,,,,,,,
,Jul-00,94.4,,,,,,,,,,,,,,,
,Aug-00,93.9,,,,,,,,,,,,,,,
,Sep-00,92.8,,,,,,,,,,,,,,,
,Oct-00,92.5,,,,,,,,,,,,,,,
,Nov-00,93.6,,,,,,,,,,,,,,,
,Dec-00,95.2,,,,,,,,,,,,,,,
,Jan-01,95.3,,,,,,,,,,,,,,,
,Feb-01,96.3,,,,,,,,,,,,,,,
,Mar-01,97.3,,,,,,,,,,,,,,,
,Apr-01,97.7,,,,,,,,,,,,,,,
,May-01,98.7,,,,,,,,,,,,,,,
,Jun-01,98.8,,,,,,,,,,,,,,,
,Jul-01,99.1,,,,,,,,,,,,,,,
,Aug-01,97.9,,,,,,,,,,,,,,,
,Sep-01,96.9,,,,,,,,,,,,,,,
,Oct-01,96.6,,,,,,,,,,,,,,,
,Nov-01,97.2,,,,,,,,,,,,,,,
,Dec-01,98.6,,,,,,,,,,,,,,,
,Jan-02,100,,,,,,,,,,,,,,,
,Feb-02,100.7,,,,,,,,,,,,,,,
,Mar-02,100.4,,,,,,,,,,,,,,,
,Apr-02,100.9,,,,,,,,,,,,,,,
,May-02,100.3,,,,,,,,,,,,,,,
,Jun-02,100.7,,,,,,,,,,,,,,,
,Jul-02,100.6,,,,,,,,,,,,,,,
,Aug-02,99.7,,,,,,,,,,,,,,,
,Sep-02,98.4,,,,,,,,,,,,,,,
,Oct-02,97.7,,,,,,,,,,,,,,,
,Nov-02,99.9,,,,,,,,,,,,,,,
,Dec-02,100.7,,,,,,,,,,,,,,,
,Jan-03,101.8,,,,,,,,,,,,,,,
,Feb-03,101.5,,,,,,,,,,,,,,,
,Mar-03,101.7,,,,,,,,,,,,,,,
,Apr-03,101.7,,,,,,,,,,,,,,,
,May-03,102.1,,,,,,,,,,,,,,,
,Jun-03,102.4,,,,,,,,,,,,,,,
,Jul-03,102.3,,,,,,,,,,,,,,,
,Aug-03,101,,,,,,,,,,,,,,,
,Sep-03,100,,,,,,,,,,,,,,,
,Oct-03,99.6,,,,,,,,,,,,,,,
,Nov-03,101,,,,,,,,,,,,,,,
,Dec-03,102.2,,,,,,,,,,,,,,,
,Jan-04,102.2,,,,,,,,,,,,,,,
