"Industrial product price index, by product, monthly 1 2 3 4"
"Frequency: Monthly"
"Table: 18-10-0266-01"
"Release date: 2023-04-19"
"Geography: Canada"
""
""

,"North American Product Classification System (NAPCS)","Fresh and frozen beef and veal  [17211]","Fresh and frozen pork  [17212]"
"Geography","Reference period"
,,"Index, 202001=100",
"Canada","January 2000","69.0","60.1"
,"February 2000","68.9","57.5"
,"March 2000","69.5","61.5"
,"April 2000","70.5","67.8"
,"May 2000","70.4","71.2"
,"June 2000","70.5","72.5"
,"July 2000","70.3","71.5"
,"August 2000","70.1","69.9"
,"September 2000","69.3","58.9"
,"October 2000","69.7","57.5"
,"November 2000","70.5","55.4"
,"December 2000","70.2","55.0"
,"January 2001","72.1","56.9"
,"February 2001","71.0","62.0"
,"March 2001","74.1","63.9"
,"April 2001","73.9","71.3"
,"May 2001","73.3","67.1"
,"June 2001","72.7","69.7"
,"July 2001","72.3","75.3"
,"August 2001","72.5","74.7"
,"September 2001","71.6","69.9"
,"October 2001","72.0","67.7"
,"November 2001","72.5","61.2"
,"December 2001","72.7","60.8"
,"January 2002","73.3","60.3"
,"February 2002","74.2","61.2"
,"March 2002","74.1","61.1"
,"April 2002","73.9","58.8"
,"May 2002","72.6","57.3"
,"June 2002","72.7","55.0"
,"July 2002","71.8","61.6"
,"August 2002","69.9","60.1"
,"September 2002","68.9","55.5"
,"October 2002","69.4","62.5"
,"November 2002","70.1","57.1"
,"December 2002","74.7","57.6"
,"January 2003","75.1","60.9"
,"February 2003","77.5","60.1"
,"March 2003","79.0","60.3"
,"April 2003","77.5","60.9"
,"May 2003","77.5","63.2"
,"June 2003","76.4","62.6"
,"July 2003","63.3","64.2"
,"August 2003","57.5","62.7"
,"September 2003","62.6","61.6"
,"October 2003","65.3","60.9"
,"November 2003","72.4","56.8"
,"December 2003","72.4","57.4"
,"January 2004","69.2","55.5"
,"February 2004","70.8","63.7"
,"March 2004","71.8","66.7"
,"April 2004","74.4","69.0"
,"May 2004","75.0","76.3"
,"June 2004","75.9","70.3"
,"July 2004","76.3","71.1"
,"August 2004","74.2","68.4"
,"September 2004","65.6","60.4"
,"October 2004","65.8","60.5"
,"November 2004","62.2","58.5"
,"December 2004","63.6","59.6"
,"January 2005","66.4","58.1"
,"February 2005","68.6","58.1"
